Rnd,Pick,Pick Value,Tm,Player,Pos,Age,From,To,AP1,PB,St,wAV,DrAV,wAV vs Expected,wAV vs Expected and Year,Expected,G,Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo,Int,Sk,College/Univ
1,4,1800,NYG,Andrew Thomas,T,21,2020,2022,0,0,3,22,22,-24.53621309,-6.111103347,28.11110335,45,0,0,0,0,0,0,0,0,1,2,1,7,,,Georgia
1,4,1800,ATL,Kyle Pitts,TE,20,2021,2022,0,1,2,12,12,-34.53621309,-7.503090554,19.50309055,27,0,0,0,0,0,0,0,0,96,1382,3,3,,,Florida
1,4,1800,NYJ,Sauce Gardner,DB,22,2022,2022,1,1,1,14,14,-32.53621309,11.86921818,2.130781816,17,0,0,0,0,0,0,0,0,0,0,0,51,2,,Cincinnati
1,5,1700,BAL,Jamal Lewis,RB,21,2000,2009,1,1,9,69,53,23.64863025,11.9377891,57.0622109,131,0,0,0,0,0,2542,10607,58,221,1879,4,,,,Tennessee
1,5,1700,LAC,LaDainian Tomlinson,RB,22,2001,2011,3,5,10,129,121,83.64863025,72.41033759,56.58966241,170,8,12,143,7,0,3174,13684,145,624,4772,17,,,,TCU
1,5,1700,LAC,Quentin Jammer,DB,23,2002,2013,0,0,10,52,51,6.648630249,-4.088332247,56.08833225,183,0,0,0,0,0,0,0,0,0,0,0,631,21,,Texas
1,5,1700,DAL,Terence Newman,DB,25,2003,2017,0,2,15,70,52,24.64863025,14.44503398,55.55496602,221,0,0,0,0,0,1,4,0,0,0,0,749,42,2,Kansas St.
1,5,1700,WAS,Sean Taylor,DB,21,2004,2007,0,2,4,32,32,-13.35136975,-22.98575396,54.98575396,55,0,0,0,0,0,0,0,0,0,0,0,243,12,2,Miami (FL)
1,5,1700,TAM,Cadillac Williams,RB,23,2005,2011,0,0,4,28,27,-17.35136975,-26.37620072,54.37620072,81,0,0,0,0,0,1055,4038,21,148,1002,4,,,,Auburn
1,5,1700,GNB,A.J. Hawk,LB,22,2006,2016,0,0,10,55,52,9.648630249,1.279044756,53.72095524,159,0,0,0,0,0,0,0,0,0,0,0,645,9,20,Ohio St.
1,5,1700,ARI,Levi Brown,T,23,2007,2013,0,0,5,34,34,-11.35136975,-19.01358556,53.01358556,81,0,0,0,0,0,0,0,0,1,4,0,,,,Penn St.
1,5,1700,KAN,Glenn Dorsey,DT,23,2008,2016,0,0,7,37,26,-8.351369751,-15.24627556,52.24627556,104,0,0,0,0,0,0,0,0,0,0,0,223,,7,LSU
1,5,1700,NYJ,Mark Sanchez,QB,22,2009,2018,0,0,4,32,26,-13.35136975,-19.40940973,51.40940973,79,1314,2320,15357,86,89,170,457,13,0,0,0,,,,USC
1,5,1700,KAN,Eric Berry,DB,21,2010,2018,3,5,5,50,50,4.648630249,-0.490992726,50.49099273,89,0,0,0,0,0,0,0,0,0,0,0,377,14,5.5,Tennessee
1,5,1700,ARI,Patrick Peterson,DB,21,2011,2022,3,8,12,101,95,55.64863025,51.52418076,49.47581924,184,1,1,17,0,0,7,34,0,10,64,0,537,34,4,LSU
1,5,1700,JAX,Justin Blackmon,WR,22,2012,2013,0,0,1,9,9,-36.35136975,-39.34425546,48.34425546,20,0,0,0,0,0,3,22,0,93,1280,6,,,,Oklahoma St.
1,5,1700,DET,Ezekiel Ansah,DE,24,2013,2020,0,1,5,39,37,-6.351369751,-8.070394785,47.07039478,93,0,0,0,0,0,0,0,0,0,0,0,174,,50.5,BYU
1,5,1700,LVR,Khalil Mack,LB,23,2014,2022,3,7,8,89,42,43.64863025,43.38083553,45.61916447,134,0,0,0,0,0,0,0,0,0,0,0,385,3,84.5,Buffalo
1,5,1700,WAS,Brandon Scherff,T,23,2015,2022,1,5,8,53,47,7.648630249,9.05841157,43.94158843,106,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa
1,5,1700,JAX,Jalen Ramsey,DB,21,2016,2022,3,6,7,68,29,22.64863025,26.03338367,41.96661633,108,0,0,0,0,0,0,0,0,0,0,0,375,19,2,Florida St.
1,5,1700,TEN,Corey Davis,WR,22,2017,2022,0,0,5,31,24,-14.35136975,-8.586087187,39.58608719,78,0,0,0,0,0,6,55,0,273,3879,17,,,,Western Michigan
1,5,1700,DEN,Bradley Chubb,DE,22,2018,2022,0,2,2,29,26,-16.35136975,-7.624662312,36.62466231,57,0,0,0,0,0,0,0,0,0,0,0,112,1,28.5,North Carolina St.
1,5,1700,TAM,Devin White,LB,21,2019,2022,0,1,4,40,40,-5.351369751,7.227350152,32.77264985,62,0,0,0,0,0,0,0,0,0,0,0,315,1,20.5,LSU
1,5,1700,MIA,Tua Tagovailoa,QB,22,2020,2022,0,0,3,23,23,-22.35136975,-4.410398826,27.41039883,36,708,1078,8015,52,23,101,307,6,0,0,0,,,,Alabama
1,5,1700,CIN,Ja'Marr Chase,WR,21,2021,2022,0,2,2,23,23,-22.35136975,3.977926489,19.02207351,29,0,0,0,0,0,12,29,0,168,2501,22,6,,,LSU
1,5,1700,NYG,Kayvon Thibodeaux,DE,21,2022,2022,0,0,1,7,7,-38.35136975,4.906871728,2.093128272,14,0,0,0,0,0,0,0,0,0,0,0,33,,4,Oregon
1,6,1600,PHI,Corey Simon,DT,23,2000,2007,0,1,6,45,41,0.8683298,-10.54080832,55.54080832,95,0,0,0,0,0,0,0,0,0,0,0,194,,32,Florida St.
1,6,1600,NWE,Richard Seymour,DE,21,2001,2012,3,7,11,91,73,46.8683298,35.91899461,55.08100539,164,0,0,0,0,0,0,0,0,0,0,0,326,2,57.5,Georgia
1,6,1600,KAN,Ryan Sims,DT,22,2002,2010,0,0,3,22,14,-22.1316702,-32.59319709,54.59319709,105,0,0,0,0,0,0,0,0,0,0,0,115,1,8.5,North Carolina
1,6,1600,NOR,Johnathan Sullivan,DT,22,2003,2005,0,0,1,10,10,-34.1316702,-44.0742168,54.0742168,36,0,0,0,0,0,0,0,0,0,0,0,57,,1.5,Georgia
